Índice	Disciplina	Código global	Título
69	Administração de Recursos Materiais	1.7	Inventários
70	Administração de Recursos Materiais	1.7.1	Fases do Inventário
71	Administração de Recursos Materiais	1.7.2	Tipos de Inventário
72	Administração de Recursos Materiais	1.7.3	Avaliação dos Bens no Inventário
73	Administração de Recursos Materiais	1.8	Gestão do Patrimônio
74	Administração de Recursos Materiais	1.8.1	Bem Patrimonial
75	Administração de Recursos Materiais	1.8.1.1	Materiais Permanentes e de Consumo
76	Administração de Recursos Materiais	1.8.1.2	Classificação dos Bens Patrimoniais
77	Administração de Recursos Materiais	1.8.1.3	Tombamento
78	Administração de Recursos Materiais	1.8.2	Gestão Patrimonial
79	Administração de Recursos Materiais	1.8.2.1	Incorporação
80	Administração de Recursos Materiais	1.8.2.2	Transferência e Cessão
81	Administração de Recursos Materiais	1.8.2.3	Baixa e Alienação
82	Administração de Recursos Materiais	1.8.2.3.1	Depreciação
83	Administração de Recursos Materiais	1.8.2.4	Administração e Manutenção de Bens Imóveis no Setor Público
84	Administração de Recursos Materiais	1.8.2.5	Manutenção de Bens Imóveis
85	Administração de Recursos Materiais	1.9	Logística
86	Administração de Recursos Materiais	1.9.1	Conceito de Logística
87	Administração de Recursos Materiais	1.9.2	Supply Chain Management - SCM
88	Administração de Recursos Materiais	1.9.2.1	Gestão da Cadeia de Suprimentos
89	Administração de Recursos Materiais	1.9.2.2	SCM no Setor Público
90	Administração de Recursos Materiais	1.9.2.3	Efeito Forrester ou Efeito Chicote
91	Administração de Recursos Materiais	1.9.2.4	Cadeias de Suprimento Direta, Reversa e de Ciclo Fechado
92	Administração de Recursos Materiais	1.9.2.5	Níveis de Serviços Logísticos
93	Administração de Recursos Materiais	1.9.2.6	ECR
94	Administração de Recursos Materiais	1.9.2.7	Comakership
95	Administração de Recursos Materiais	1.10	Compras Governamentais
96	Administração de Recursos Materiais	1.10.1	Licitações e normativos de compras no setor público
97	Administração de Recursos Materiais	1.10.1.1	Tipos de Licitação
98	Administração de Recursos Materiais	1.10.1.2	Modalidades de Licitação
99	Administração de Recursos Materiais	1.10.1.2.1	Concorrência
100	Administração de Recursos Materiais	1.10.1.2.2	Tomada de Preços
101	Administração de Recursos Materiais	1.10.1.2.4	Concurso
102	Administração de Recursos Materiais	1.10.1.2.5	Leilão
103	Administração de Recursos Materiais	1.10.1.2.6	Pregão
104	Administração de Recursos Materiais	1.10.1.2.7	Consulta
105	Administração de Recursos Materiais	1.10.1.3	Obrigatoriedade, Dispensa, Inexigibilidade e Vedações de Licitações
106	Administração de Recursos Materiais	1.10.1.3.1	Dispensa
107	Administração de Recursos Materiais	1.10.1.3.2	Inexigibilidade
108	Administração de Recursos Materiais	1.10.1.4	Anulação e Revogação de Licitação
109	Administração de Recursos Materiais	1.10.1.4.1	Anulação
110	Administração de Recursos Materiais	1.10.1.5	Sistema de Registro de Preços
111	Administração de Recursos Materiais	1.10.1.6	Regime Diferenciado de Contratações
112	Administração de Recursos Materiais	1.11	Contratos Administrativos
113	Administração de Recursos Materiais	1.11.1	Conceito de Contratos
114	Administração de Recursos Materiais	1.11.2	Atributos ou Características dos Contratos Administrativos
115	Administração de Recursos Materiais	1.11.2.1	Obrigatoriedade de Licitação Prévia à Celebração dos Contratos
116	Administração de Recursos Materiais	1.11.2.2	Formalismo
117	Administração de Recursos Materiais	1.11.2.5	Intuitu Personae ou Pessoalidade
118	Administração de Recursos Materiais	1.11.2.7	Cláusulas Exorbitantes
119	Administração de Recursos Materiais	1.11.2.8	Cláusulas Necessárias
120	Administração de Recursos Materiais	1.11.3	Encargos Trabalhistas, Previdenciários, Fiscais e Comerciais
121	Administração de Recursos Materiais	1.11.4	Revisão / Reajuste / Repactuação
122	Administração de Recursos Materiais	1.11.5	Garantia Contratual
123	Administração de Recursos Materiais	1.11.6	Execução dos Contratos
124	Administração de Recursos Materiais	1.11.8	Alteração Contratual
125	Administração de Recursos Materiais	1.11.9	Teoria da Imprevisão
126	Administração Financeira e Orçamentária - AFO	2.1	Introdução à Administração Financeira e Orçamentária
127	Administração Financeira e Orçamentária - AFO	2.1.1	Considerações Iniciais
128	Administração Financeira e Orçamentária - AFO	2.1.2	Atividade Financeira do Estado
129	Administração Financeira e Orçamentária - AFO	2.1.2.1	Conceito
130	Administração Financeira e Orçamentária - AFO	2.1.2.2	Características
131	Administração Financeira e Orçamentária - AFO	2.1.2.3	Finalidades
132	Administração Financeira e Orçamentária - AFO	2.2	Orçamento Público
133	Administração Financeira e Orçamentária - AFO	2.2.1	Aspectos Gerais do Orçamento Público
134	Administração Financeira e Orçamentária - AFO	2.2.2	Conceitos de Orçamento Público
135	Administração Financeira e Orçamentária - AFO	2.2.2.1	Conceito no sentido amplo
136	Administração Financeira e Orçamentária - AFO	2.2.2.2	Conceito no sentido estrito
137	Administração Financeira e Orçamentária - AFO	2.2.2.3	Conceito no sentido técnico
138	Administração Financeira e Orçamentária - AFO	2.2.3	Natureza Jurídica do Orçamento Brasileiro
139	Administração Financeira e Orçamentária - AFO	2.2.4	Histórico do Orçamento Público
140	Administração Financeira e Orçamentária - AFO	2.2.4.1	Espécies ou Técnicas Orçamentárias
141	Administração Financeira e Orçamentária - AFO	2.2.4.1.1	Orçamentos Tradicional ou Clássico
142	Administração Financeira e Orçamentária - AFO	2.2.4.1.2	Orçamento de Desempenho ou Funcional
143	Administração Financeira e Orçamentária - AFO	2.2.4.1.3	Orçamento-Programa ou Moderno
144	Administração Financeira e Orçamentária - AFO	2.2.4.1.4	Orçamento de Base Zero ou por Estratégia
145	Administração Financeira e Orçamentária - AFO	2.2.4.1.5	Orçamento Participativo
146	Administração Financeira e Orçamentária - AFO	2.2.4.1.6	Orçamento por Resultados
147	Administração Financeira e Orçamentária - AFO	2.2.4.1.7	Outras Técnicas
148	Administração Financeira e Orçamentária - AFO	2.2.4.1.8	Características Gerais
149	Administração Financeira e Orçamentária - AFO	2.2.4.2	Funções Econômicas Clássicas aplicadas ao Orçamento Público
150	Administração Financeira e Orçamentária - AFO	2.2.4.2.1	Função Alocativa
151	Administração Financeira e Orçamentária - AFO	2.2.4.2.2	Função Distributiva
152	Administração Financeira e Orçamentária - AFO	2.2.4.2.3	Função Estabilizadora
153	Administração Financeira e Orçamentária - AFO	2.3	Ciclo ou Processo Orçamentário
154	Administração Financeira e Orçamentária - AFO	2.3.1	Considerações Gerais
155	Administração Financeira e Orçamentária - AFO	2.3.2	Elaboração/Iniciativa (Planejamento)
156	Administração Financeira e Orçamentária - AFO	2.3.2.1	Alocação de Recursos e o Papel dos Agentes no Processo
157	Administração Financeira e Orçamentária - AFO	2.3.2.2	Competência da iniciativa e demais participações
158	Administração Financeira e Orçamentária - AFO	2.3.2.2.1	A Iniciativa Do Poder Executivo
159	Administração Financeira e Orçamentária - AFO	2.3.2.2.2	Participação dos demais Poderes, MPs e DPs
160	Administração Financeira e Orçamentária - AFO	2.3.2.3	Prazos
161	Administração Financeira e Orçamentária - AFO	2.3.2.4	Lei Complementar - Art. 165, § 9.º da CF/88
162	Administração Financeira e Orçamentária - AFO	2.3.2.5	Conteúdo Da Proposta Orçamentária
163	Administração Financeira e Orçamentária - AFO	2.3.3	Discussão, Votação e Aprovação (Autorização)
164	Administração Financeira e Orçamentária - AFO	2.3.3.1	Recebimento das propostas
165	Administração Financeira e Orçamentária - AFO	2.3.3.2	Comissão Mista de Planos, Orçamentos Públicos e Fiscalização - CMO
166	Administração Financeira e Orçamentária - AFO	2.3.3.3	Emendas Parlamentares
167	Administração Financeira e Orçamentária - AFO	2.3.3.3.1	Orçamento Impositivo Individual e de bancada
168	Administração Financeira e Orçamentária - AFO	2.3.3.4	Aprovação
169	Administração Financeira e Orçamentária - AFO	2.3.3.5	Vetos, Sanção e Publicação
170	Administração Financeira e Orçamentária - AFO	2.3.4	Execução Orçamentária e Financeira
171	Administração Financeira e Orçamentária - AFO	2.3.4.1	Execução Orçamentária e Cumprimento das Metas
172	Administração Financeira e Orçamentária - AFO	2.3.4.2	Emendas Parlamentares de Execução Obrigatória
173	Administração Financeira e Orçamentária - AFO	2.3.5	Controle e Avaliação
174	Administração Financeira e Orçamentária - AFO	2.3.5.1	Considerações Iniciais
175	Administração Financeira e Orçamentária - AFO	2.3.5.2	Controle Interno
176	Administração Financeira e Orçamentária - AFO	2.3.5.3	Controle Externo
177	Administração Financeira e Orçamentária - AFO	2.3.6	Visão ampliada do ciclo orçamentário
178	Administração Financeira e Orçamentária - AFO	2.4	Orçamento Público no Brasil
179	Administração Financeira e Orçamentária - AFO	2.4.1	Plano Plurianual - PPA
180	Administração Financeira e Orçamentária - AFO	2.4.1.1	Conceitos Básicos
181	Administração Financeira e Orçamentária - AFO	2.4.1.2	Plano Plurianual na CF/88
182	Administração Financeira e Orçamentária - AFO	2.4.1.3	Plano Plurianual na LRF (art. 3º revogado)
183	Administração Financeira e Orçamentária - AFO	2.4.1.4	Outros Planos e Programas Nacionais, Regionais e Setoriais e o PPA
184	Administração Financeira e Orçamentária - AFO	2.4.1.5	PPA do Governo Federal - Últimas Normas
185	Administração Financeira e Orçamentária - AFO	2.4.1.5.1	PPA 2020-2023
186	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.1	Lei 13.971 de 2019 (Lei do PPA 2020 a 2023 da União)
187	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.1.1	Conceitos Básicos
188	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.1.2	Estrutura e Organização do PPA da União
189	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.1.3	Integração com as LOAs da União
190	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.1.4	Governança do PPA da União
191	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.1.5	Disposições Gerais
192	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.2	Decreto 10.321 de 2020 (Regulamenta a Lei do PPA 2020 a 2023 da União)
193	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.2.2	Monitoramento e Avaliação do PPA
194	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.2.2.1	Objetivos e Metas
195	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.2.2.2	Monitoramento
196	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.2.3	Competências
197	Administração Financeira e Orçamentária - AFO	2.4.1.5.1.2.4	Revisão
198	Administração Financeira e Orçamentária - AFO	2.4.1.5.2	PPA 2016-2019
199	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.1	Lei 13.249 de 2016 (Lei do PPA 2016 a 2019 da União)
200	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.1.1	Conceitos Básicos
201	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.1.2	Estrutura e Organização do Plano
202	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.1.3	Integração com as LOAs
203	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.1.5	Disposições Gerais
204	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2	Decreto 8.759 de 2016 (Regulamenta a Lei do PPA 2016 a 2019 da União)
205	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.1	Considerações Iniciais
206	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.2	Conceitos e Princípios da Gestão do PPA
207	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.3	Monitoramento e Avaliação do PPA
208	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.3.1	Objetivos e Metas
209	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.3.2	Monitoramento
210	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.4	Competências
211	Administração Financeira e Orçamentária - AFO	2.4.1.5.2.2.5	Revisão
212	Administração Financeira e Orçamentária - AFO	2.4.1.6	Decreto 2.829/1998: Normas para Elaboração e Execução do PPA e da LOA
213	Administração Financeira e Orçamentária - AFO	2.4.1.7	Normativos de PPAs da União anteriores ao ano de 2016
214	Administração Financeira e Orçamentária - AFO	2.4.1.8	Normas Específicas de PPAs dos Estados, DF e Municípios
215	Administração Financeira e Orçamentária - AFO	2.4.1.8.1	PPAs Estaduais
216	Administração Financeira e Orçamentária - AFO	2.4.1.8.2	PPAs do DF
217	Administração Financeira e Orçamentária - AFO	2.4.1.8.3	PPAs Municipais
218	Administração Financeira e Orçamentária - AFO	2.4.2	Lei de Diretrizes Orçamentárias - LDO
219	Administração Financeira e Orçamentária - AFO	2.4.2.1	Conceitos Básicos
220	Administração Financeira e Orçamentária - AFO	2.4.2.2	Lei de Diretrizes Orçamentárias na CF/88
221	Administração Financeira e Orçamentária - AFO	2.4.2.3	Lei de Diretrizes Orçamentárias na LRF (art. 4º)
222	Administração Financeira e Orçamentária - AFO	2.4.2.4	LDOs Específicas dos Estados, DF e Municípios
223	Administração Financeira e Orçamentária - AFO	2.4.3	Lei Orçamentária Anual - LOA
224	Administração Financeira e Orçamentária - AFO	2.4.3.1	Conceitos Básicos
225	Administração Financeira e Orçamentária - AFO	2.4.3.2	LOA na CF/88
226	Administração Financeira e Orçamentária - AFO	2.4.3.3	LOA na Lei 4.320 de 1964
227	Administração Financeira e Orçamentária - AFO	2.4.3.4	LOA na LRF (art. 5º)
228	Administração Financeira e Orçamentária - AFO	2.4.3.5	Orçamento Fiscal - OF
229	Administração Financeira e Orçamentária - AFO	2.4.3.6	Orçamento de Investimento das Estatais - OI
230	Administração Financeira e Orçamentária - AFO	2.4.3.7	Orçamento da Seguridade Social - OSS
231	Administração Financeira e Orçamentária - AFO	2.4.3.8	LOAs Específicas dos Estados, DF e Municípios
232	Administração Financeira e Orçamentária - AFO	2.4.4	Créditos Adicionais e ordinários
233	Administração Financeira e Orçamentária - AFO	2.4.4.1	Conceito
234	Administração Financeira e Orçamentária - AFO	2.4.4.2	Tipos ou Espécies
235	Administração Financeira e Orçamentária - AFO	2.4.4.2.1	Créditos Suplementares
236	Administração Financeira e Orçamentária - AFO	2.4.4.2.2	Créditos Especiais
237	Administração Financeira e Orçamentária - AFO	2.4.4.2.3	Créditos Extraordinários
238	Administração Financeira e Orçamentária - AFO	2.4.4.3	Vigência dos Créditos Adicionais
239	Administração Financeira e Orçamentária - AFO	2.4.4.4	Fontes de Recursos dos Créditos Adicionais
240	Administração Financeira e Orçamentária - AFO	2.5	Princípios Orçamentários
241	Administração Financeira e Orçamentária - AFO	2.5.1	Considerações Gerais
242	Administração Financeira e Orçamentária - AFO	2.5.2	Tipos ou Espécies de Princípios Orçamentários
243	Administração Financeira e Orçamentária - AFO	2.5.2.1	Legalidade aplicada ao Orçamento
244	Administração Financeira e Orçamentária - AFO	2.5.2.2	Anualidade ou Periodicidade
245	Administração Financeira e Orçamentária - AFO	2.5.2.3	Unidade e Totalidade
246	Administração Financeira e Orçamentária - AFO	2.5.2.4	Universalidade
247	Administração Financeira e Orçamentária - AFO	2.5.2.5	Orçamento Bruto
248	Administração Financeira e Orçamentária - AFO	2.5.2.6	Especificação, Especialização ou Discriminação
249	Administração Financeira e Orçamentária - AFO	2.5.2.7	Exclusividade
250	Administração Financeira e Orçamentária - AFO	2.5.2.8	Não vinculação ou Não afetação da receita de impostos
251	Administração Financeira e Orçamentária - AFO	2.5.2.9	Equilíbrio Orçamentário
252	Administração Financeira e Orçamentária - AFO	2.5.2.10	Proibição do Estorno
253	Administração Financeira e Orçamentária - AFO	2.5.2.11	Limitação dos Créditos Orçamentários
254	Administração Financeira e Orçamentária - AFO	2.5.2.12	Transparência
255	Administração Financeira e Orçamentária - AFO	2.5.2.13	Publicidade
256	Administração Financeira e Orçamentária - AFO	2.5.2.14	Clareza ou Inteligibilidade
257	Administração Financeira e Orçamentária - AFO	2.5.2.15	Uniformidade
258	Administração Financeira e Orçamentária - AFO	2.5.2.16	Programação
259	Administração Financeira e Orçamentária - AFO	2.5.2.17	Exatidão
260	Administração Financeira e Orçamentária - AFO	2.5.2.18	Economicidade
261	Administração Financeira e Orçamentária - AFO	2.5.2.19	Unidade de Tesouraria ou de Caixa
262	Administração Financeira e Orçamentária - AFO	2.5.3	Outros Princípios Gerais
263	Administração Financeira e Orçamentária - AFO	2.6	Receita Pública
264	Administração Financeira e Orçamentária - AFO	2.6.1	Aspectos Gerais
265	Administração Financeira e Orçamentária - AFO	2.6.2	Conceitos
266	Administração Financeira e Orçamentária - AFO	2.6.2.1	Receita Orçamentária
267	Administração Financeira e Orçamentária - AFO	2.6.2.2	Receita Extraorçamentária (ou mero ingresso)
268	Administração Financeira e Orçamentária - AFO	2.6.3	Classificações
269	Administração Financeira e Orçamentária - AFO	2.6.3.1	Classificação por Natureza da Receita (Níveis e Dígitos)
270	Administração Financeira e Orçamentária - AFO	2.6.3.1.1	Categoria Econômica da Receita (1º Nível e 1º Dígito)
271	Administração Financeira e Orçamentária - AFO	2.6.3.1.2	Origem (2º Nível e 2º Dígito)
272	Administração Financeira e Orçamentária - AFO	2.6.3.1.2.1	Origens das Receitas Correntes
273	Administração Financeira e Orçamentária - AFO	2.6.3.1.2.2	Origens das Receitas de Capital
274	Administração Financeira e Orçamentária - AFO	2.6.3.1.3	Espécie (3º Nível e 3º Dígito)
275	Administração Financeira e Orçamentária - AFO	2.6.3.1.4	Desdobramentos (4º Nível, do 4º ao 7º Dígito)
276	Administração Financeira e Orçamentária - AFO	2.6.3.1.5	Tipo (5º Nível e 8º Dígito)
277	Administração Financeira e Orçamentária - AFO	2.6.3.1.6	Outros níveis/dígitos (particularidades dos entes ou revogados)
278	Administração Financeira e Orçamentária - AFO	2.6.3.2	Classificação quanto à Origem ou Procedência
279	Administração Financeira e Orçamentária - AFO	2.6.3.3	Classificação por Fontes/Destinação de Recursos
280	Administração Financeira e Orçamentária - AFO	2.6.3.4	Classificação por Indicador de Resultado Primário
281	Administração Financeira e Orçamentária - AFO	2.6.3.5	Classificação por Esfera Orçamentária
282	Administração Financeira e Orçamentária - AFO	2.6.3.6	Classificação Patrimonial (afetação do patrimônio líquido)
283	Administração Financeira e Orçamentária - AFO	2.6.3.7	Outras Classificações
284	Administração Financeira e Orçamentária - AFO	2.6.4	Estágios/Etapas da Receita Pública
285	Administração Financeira e Orçamentária - AFO	2.6.4.1	Previsão
286	Administração Financeira e Orçamentária - AFO	2.6.4.2	Lançamento
287	Administração Financeira e Orçamentária - AFO	2.6.4.3	Arrecadação
288	Administração Financeira e Orçamentária - AFO	2.6.4.4	Recolhimento
289	Administração Financeira e Orçamentária - AFO	2.6.4.4.1	Conta Única do Tesouro
290	Administração Financeira e Orçamentária - AFO	2.6.4.4.1.1	Na CF/88
291	Administração Financeira e Orçamentária - AFO	2.6.4.4.1.2	Na Legislação Infraconstitucional
292	Administração Financeira e Orçamentária - AFO	2.6.4.4.1.3	Princípio da Unidade de Tesouraria ou de Caixa
293	Administração Financeira e Orçamentária - AFO	2.6.5	Dívida ativa
294	Administração Financeira e Orçamentária - AFO	2.6.5.1	Dívida Ativa na Lei nº 4.320/1964
295	Administração Financeira e Orçamentária - AFO	2.6.5.2	Outros aspectos sobre a Divida Ativa
296	Administração Financeira e Orçamentária - AFO	2.7	Despesa Pública
297	Administração Financeira e Orçamentária - AFO	2.7.1	Aspectos Gerais
298	Administração Financeira e Orçamentária - AFO	2.7.2	Conceito
299	Administração Financeira e Orçamentária - AFO	2.7.3	Classificações
300	Administração Financeira e Orçamentária - AFO	2.7.3.1	Classificação Quantitativa
301	Administração Financeira e Orçamentária - AFO	2.7.3.1.1	Por Natureza da Despesa ( ou por Categorias Econômicas)
302	Administração Financeira e Orçamentária - AFO	2.7.3.1.1.1	Categoria Econômica (1º Nível)
303	Administração Financeira e Orçamentária - AFO	2.7.3.1.1.2	Grupo de Natureza (2º Nível)
304	Administração Financeira e Orçamentária - AFO	2.7.3.1.1.3	Modalidade de Aplicação (3º nível)
305	Administração Financeira e Orçamentária - AFO	2.7.3.1.1.4	Elemento de Despesa (4º nível)
306	Administração Financeira e Orçamentária - AFO	2.7.3.1.1.5	Subelemento ou Desdobramento do Elemento (5º Nível)
307	Administração Financeira e Orçamentária - AFO	2.7.3.1.2	Por Identificador de Resultado Primário
308	Administração Financeira e Orçamentária - AFO	2.7.3.1.3	Por Fonte de Recursos
309	Administração Financeira e Orçamentária - AFO	2.7.3.1.4	Por Identificador de Doação e de Operação de Crédito (IDOC)
310	Administração Financeira e Orçamentária - AFO	2.7.3.1.5	Classificação por Identificador de Uso - IDUSO
311	Administração Financeira e Orçamentária - AFO	2.7.3.1.6	Por Dotação (valor do montante alocado)
312	Administração Financeira e Orçamentária - AFO	2.7.3.2	Classificação Qualitativa
313	Administração Financeira e Orçamentária - AFO	2.7.3.2.1	Por Esfera Orçamentária
314	Administração Financeira e Orçamentária - AFO	2.7.3.2.2	Institucional
315	Administração Financeira e Orçamentária - AFO	2.7.3.2.3	Funcional
316	Administração Financeira e Orçamentária - AFO	2.7.3.2.4	Estrutura Programática
317	Administração Financeira e Orçamentária - AFO	2.7.3.2.4.1	Tipos de Programas
318	Administração Financeira e Orçamentária - AFO	2.7.3.2.4.2	Tipos de Ações
319	Administração Financeira e Orçamentária - AFO	2.7.3.2.4.3	Subtítulo ou Localizador de Gasto
320	Administração Financeira e Orçamentária - AFO	2.7.3.3	Classificações Doutrinárias
321	Administração Financeira e Orçamentária - AFO	2.7.3.4	Classificações na lei 4.320/1964
322	Administração Financeira e Orçamentária - AFO	2.7.3.5	Outras Classificações
323	Administração Financeira e Orçamentária - AFO	2.7.4	Estágios/Etapas da Despesa Pública
324	Administração Financeira e Orçamentária - AFO	2.7.4.1	Fixação
325	Administração Financeira e Orçamentária - AFO	2.7.4.2	Descentralização de Créditos Orçamentários
326	Administração Financeira e Orçamentária - AFO	2.7.4.3	Programação Orçamentária e Financeira
327	Administração Financeira e Orçamentária - AFO	2.7.4.4	Processo de Licitação e Contratação
328	Administração Financeira e Orçamentária - AFO	2.7.4.5	Empenho
329	Administração Financeira e Orçamentária - AFO	2.7.4.6	Liquidação
330	Administração Financeira e Orçamentária - AFO	2.7.4.7	Pagamento
331	Administração Financeira e Orçamentária - AFO	2.7.5	Restos a Pagar - RP
332	Administração Financeira e Orçamentária - AFO	2.7.6	Despesas de Exercícios Anteriores - DEA
333	Administração Financeira e Orçamentária - AFO	2.7.7	Suprimento de Fundos ou Regime de Adiantamento
334	Administração Financeira e Orçamentária - AFO	2.8	Programação e Execução Orçamentária e Financeira
335	Administração Financeira e Orçamentária - AFO	2.8.1	Competências
336	Administração Financeira e Orçamentária - AFO	2.8.2	Cotas Trimestrais
337	Administração Financeira e Orçamentária - AFO	2.8.3	Decreto de Programação Orçamentária e Financeira
338	Administração Financeira e Orçamentária - AFO	2.8.4	Necessidades de Financiamento no Setor Público
339	Administração Financeira e Orçamentária - AFO	2.9	Descentralização Orçamentária e Financeira
340	Administração Financeira e Orçamentária - AFO	2.9.1	Descentralização de Créditos Orçamentários
341	Administração Financeira e Orçamentária - AFO	2.9.1.1	Dotação
